lemma,singular,plural,article,taxonomic_phrase,novel_property_is,novel_property_have,generic,remove
gumdrop,gumdrop,gumdrops,a gumdrop,are a type of,gumdrops are daxable.,gumdrops have daxes.,p,
cheesecake,cheesecake,cheesecakes,cheesecake,is a type of,cheesecake is daxable.,cheesecake has daxes.,s,
cucumber,cucumber,cucumbers,a cucumber,are a type of,cucumbers are daxable.,cucumbers have daxes.,p,
mirror,mirror,mirrors,a mirror,are a type of,mirrors are daxable.,mirrors have daxes.,p,
pita,pita,pitas,pita,is a type of,pita is daxable.,pita has daxes.,s,
jumpsuit,jumpsuit,jumpsuits,a jumpsuit,are a type of,jumpsuits are daxable.,jumpsuits have daxes.,p,
bike,bike,bikes,a bike,are a type of,bikes are daxable.,bikes have daxes.,p,
board game,board game,board games,a board game,are a type of,board games are daxable.,board games have daxes.,p,
cleaver,cleaver,cleavers,a cleaver,are a type of,cleavers are daxable.,cleavers have daxes.,p,
icepick,icepick,icepicks,an icepick,are a type of,icepicks are daxable.,icepicks have daxes.,p,
cymbal,cymbal,cymbals,a cymbal,are a type of,cymbals are daxable.,cymbals have daxes.,p,
blowtorch,blowtorch,blowtorches,a blowtorch,are a type of,blowtorches are daxable.,blowtorches have daxes.,p,
instrument,instrument,instruments,an instrument,are a type of,instruments are daxable.,instruments have daxes.,p,
latch,latch,latches,a latch,are a type of,latches are daxable.,latches have daxes.,p,
space shuttle,space shuttle,space shuttles,a space shuttle,are a type of,space shuttles are daxable.,space shuttles have daxes.,p,
strawberry,strawberry,strawberries,a strawberry,are a type of,strawberries are daxable.,strawberries have daxes.,p,
sauerkraut,sauerkraut,sauerkrauts,sauerkraut,is a type of,sauerkraut is daxable.,sauerkraut has daxes.,s,
blackberry,blackberry,blackberries,a blackberry,are a type of,blackberries are daxable.,blackberries have daxes.,p,
tuxedo,tuxedo,tuxedoes,a tuxedo,are a type of,tuxedoes are daxable.,tuxedoes have daxes.,p,
basil,basil,basils,basil,is a type of,basil is daxable.,basil has daxes.,s,
bacon,bacon,bacons,bacon,is a type of,bacon is daxable.,bacon has daxes.,s,
vegetable,vegetable,vegetables,a vegetable,are a type of,vegetables are daxable.,vegetables have daxes.,p,
wafer,wafer,wafers,a wafer,are a type of,wafers are daxable.,wafers have daxes.,p,
duffel bag,duffel bag,duffel bags,a duffel bag,are a type of,duffel bags are daxable.,duffel bags have daxes.,p,
brake,brake,brakes,a brake,are a type of,brakes are daxable.,brakes have daxes.,p,
cloak,cloak,cloaks,a cloak,are a type of,cloaks are daxable.,cloaks have daxes.,p,
sunroof,sunroof,sunroofs,a sunroof,are a type of,sunroofs are daxable.,sunroofs have daxes.,p,
juicer,juicer,juicers,a juicer,are a type of,juicers are daxable.,juicers have daxes.,p,
dryer,dryer,dryers,a dryer,are a type of,dryers are daxable.,dryers have daxes.,p,
oven,oven,ovens,an oven,are a type of,ovens are daxable.,ovens have daxes.,p,
dreidel,dreidel,dreidels,a dreidel,are a type of,dreidels are daxable.,dreidels have daxes.,p,
kilt,kilt,kilts,a kilt,are a type of,kilts are daxable.,kilts have daxes.,p,
gearshift,gearshift,gearshifts,a gearshift,are a type of,gearshifts are daxable.,gearshifts have daxes.,p,
washcloth,washcloth,washcloths,a washcloth,are a type of,washcloths are daxable.,washcloths have daxes.,p,
panties,panties,panties,panties,are a type of,panties are daxable.,panties have daxes.,p,
okra,okra,okras,okra,is a type of,okra is daxable.,okra has daxes.,s,
cannon,cannon,cannons,a cannon,are a type of,cannons are daxable.,cannons have daxes.,p,
caramel,caramel,caramels,a caramel,are a type of,caramels are daxable.,caramels have daxes.,p,
beaver,beaver,beavers,a beaver,are a type of,beavers are daxable.,beavers have daxes.,p,
hairdryer,hairdryer,hairdryers,a hairdryer,are a type of,hairdryers are daxable.,hairdryers have daxes.,p,
checkers,checkers,checkers,checkers,are a type of,checkers are daxable.,checkers have daxes.,p,
dessert,dessert,desserts,a dessert,are a type of,desserts are daxable.,desserts have daxes.,p,
worm,worm,worms,a worm,are a type of,worms are daxable.,worms have daxes.,p,
dragonfly,dragonfly,dragonflies,a dragonfly,are a type of,dragonflies are daxable.,dragonflies have daxes.,p,
shopping cart,shopping cart,shopping carts,a shopping cart,are a type of,shopping carts are daxable.,shopping carts have daxes.,p,
muff,muff,muffs,a muff,are a type of,muffs are daxable.,muffs have daxes.,p,
mop,mop,mops,a mop,are a type of,mops are daxable.,mops have daxes.,p,
lasagna,lasagna,lasagnas,lasagna,is a type of,lasagna is daxable.,lasagna has daxes.,s,
balloon,balloon,balloons,a balloon,are a type of,balloons are daxable.,balloons have daxes.,p,
lettuce,lettuce,lettuces,a lettuce,is a type of,a lettuce is daxable.,a lettuce has daxes.,s,
birdcage,birdcage,birdcages,a birdcage,are a type of,birdcages are daxable.,birdcages have daxes.,p,
snail,snail,snails,a snail,are a type of,snails are daxable.,snails have daxes.,p,
pastry,pastry,pastries,a pastry,are a type of,pastries are daxable.,pastries have daxes.,p,
pig,pig,pigs,a pig,are a type of,pigs are daxable.,pigs have daxes.,p,
tortellini,tortellini,tortellinis,tortellini,is a type of,tortellini is daxable.,tortellini has daxes.,s,
coleslaw,coleslaw,coleslaws,a coleslaw,are a type of,coleslaws are daxable.,coleslaws have daxes.,p,
jam,jam,jams,a jam,are a type of,jams are daxable.,jams have daxes.,p,
cheetah,cheetah,cheetahs,a cheetah,are a type of,cheetahs are daxable.,cheetahs have daxes.,p,
groundhog,groundhog,groundhogs,a groundhog,are a type of,groundhogs are daxable.,groundhogs have daxes.,p,
taffy,taffy,taffies,taffy,is a type of,taffy is daxable.,taffy has daxes.,s,
star fruit,star fruit,star fruits,a star fruit,are a type of,star fruits are daxable.,star fruits have daxes.,p,
cobra,cobra,cobras,a cobra,are a type of,cobras are daxable.,cobras have daxes.,p,
mustard,mustard,mustards,mustard,is a type of,mustard is daxable.,mustard has daxes.,s,
hobbyhorse,hobbyhorse,hobbyhorses,a hobbyhorse,are a type of,hobbyhorses are daxable.,hobbyhorses have daxes.,p,1
trident,trident,tridents,a trident,are a type of,tridents are daxable.,tridents have daxes.,p,
lectern,lectern,lecterns,a lectern,are a type of,lecterns are daxable.,lecterns have daxes.,p,
blowfish,blowfish,blowfish,a blowfish,are a type of,blowfish are daxable.,blowfish have daxes.,p,
fishbowl,fishbowl,fishbowls,a fishbowl,are a type of,fishbowls are daxable.,fishbowls have daxes.,p,
mug,mug,mugs,a mug,are a type of,mugs are daxable.,mugs have daxes.,p,
toucan,toucan,toucans,a toucan,are a type of,toucans are daxable.,toucans have daxes.,p,
recliner,recliner,recliners,a recliner,are a type of,recliners are daxable.,recliners have daxes.,p,
headwear,headwear,headwear,headwear,is a type of,headwear is daxable.,headwear has daxes.,s,
gorilla,gorilla,gorillas,a gorilla,are a type of,gorillas are daxable.,gorillas have daxes.,p,
deer,deer,deers,a deer,are a type of,deers are daxable.,deers have daxes.,p,
yolk,egg yolk,egg yolks,an egg yolk,are a type of,egg yolks are daxable.,egg yolks have daxes.,p,
caviar,caviar,caviars,caviar,is a type of,caviar is daxable.,caviar has daxes.,s,
jalapeno,jalapeno,jalapenoes,a jalapeno,are a type of,jalapenoes are daxable.,jalapenoes have daxes.,p,
keyboard,keyboard,keyboards,a keyboard,are a type of,keyboards are daxable.,keyboards have daxes.,p,
guinea pig,guinea pig,guinea pigs,a guinea pig,are a type of,guinea pigs are daxable.,guinea pigs have daxes.,p,
motorcycle,motorcycle,motorcycles,a motorcycle,are a type of,motorcycles are daxable.,motorcycles have daxes.,p,
pudding,pudding,puddings,pudding,is a type of,pudding is daxable.,pudding has daxes.,s,
caterpillar,caterpillar,caterpillars,a caterpillar,are a type of,caterpillars are daxable.,caterpillars have daxes.,p,
lunchbox,lunchbox,lunchboxes,a lunchbox,are a type of,lunchboxes are daxable.,lunchboxes have daxes.,p,
camcorder,camcorder,camcorders,a camcorder,are a type of,camcorders are daxable.,camcorders have daxes.,p,
wind chimes,wind chime,wind chimes,a wind chime,are a type of,wind chimes are daxable.,wind chimes have daxes.,p,
deodorant,deodorant,deodorants,a deodorant,are a type of,deodorants are daxable.,deodorants have daxes.,p,
stir fry,stir fry,stir fries,a stir fry,is a type of,a stir fry is daxable.,a stir fry has daxes.,s,
lightbulb,lightbulb,lightbulbs,a lightbulb,are a type of,lightbulbs are daxable.,lightbulbs have daxes.,p,
cream cheese,cream cheese,cream cheeses,cream cheese,is a type of,cream cheese is daxable.,cream cheese has daxes.,s,
moose,moose,moose,a moose,are a type of,moose are daxable.,moose have daxes.,p,
belt buckle,belt buckle,belt buckles,a belt buckle,are a type of,belt buckles are daxable.,belt buckles have daxes.,p,
screw,screw,screws,a screw,are a type of,screws are daxable.,screws have daxes.,p,
saffron,saffron,saffron,saffron,is a type of,saffron is daxable.,saffron has daxes.,s,
trowel,trowel,trowels,a trowel,are a type of,trowels are daxable.,trowels have daxes.,p,
hatbox,hatbox,hatboxes,a hatbox,are a type of,hatboxes are daxable.,hatboxes have daxes.,p,
sardine,sardine,sardines,a sardine,are a type of,sardines are daxable.,sardines have daxes.,p,
ostrich,ostrich,ostriches,an ostrich,are a type of,ostriches are daxable.,ostriches have daxes.,p,
clarinet,clarinet,clarinets,a clarinet,are a type of,clarinets are daxable.,clarinets have daxes.,p,
mussel,mussel,mussels,a mussel,are a type of,mussels are daxable.,mussels have daxes.,p,
frisbee,frisbee,frisbees,a frisbee,are a type of,frisbees are daxable.,frisbees have daxes.,p,
dumpling,dumpling,dumplings,a dumpling,are a type of,dumplings are daxable.,dumplings have daxes.,p,
scanner,scanner,scanners,a scanner,are a type of,scanners are daxable.,scanners have daxes.,p,
cello,cello,cellos,a cello,are a type of,cellos are daxable.,cellos have daxes.,p,
nail clippers,nail clippers,nail clippers,a nail clippers,are a type of,nail clippers are daxable.,nail clippers have daxes.,p,
banjo,banjo,banjoes,a banjo,are a type of,banjoes are daxable.,banjoes have daxes.,p,
wheat,wheat,wheats,wheat,is a type of,wheat is daxable.,wheat has daxes.,s,
canister,canister,canisters,a canister,are a type of,canisters are daxable.,canisters have daxes.,p,
lanyard,lanyard,lanyards,a lanyard,are a type of,lanyards are daxable.,lanyards have daxes.,p,
peacock,peacock,peacocks,a peacock,are a type of,peacocks are daxable.,peacocks have daxes.,p,
water heater,water heater,water heaters,a water heater,are a type of,water heaters are daxable.,water heaters have daxes.,p,
tugboat,tugboat,tugboats,a tugboat,are a type of,tugboats are daxable.,tugboats have daxes.,p,
whale,whale,whales,a whale,are a type of,whales are daxable.,whales have daxes.,p,
can,can,cans,a can,are a type of,cans are daxable.,cans have daxes.,p,
violin,violin,violins,a violin,are a type of,violins are daxable.,violins have daxes.,p,
chisel,chisel,chisels,a chisel,are a type of,chisels are daxable.,chisels have daxes.,p,
animal,animal,animals,an animal,are a type of,animals are daxable.,animals have daxes.,p,
pantyhose,pantyhose,pantyhoses,a pantyhose,are a type of,pantyhoses are daxable.,pantyhoses have daxes.,p,
raccoon,raccoon,raccoons,a raccoon,are a type of,raccoons are daxable.,raccoons have daxes.,p,
crayfish,crayfish,crayfish,a crayfish,are a type of,crayfish are daxable.,crayfish have daxes.,p,
bookshelf,bookshelf,bookshelves,a bookshelf,are a type of,bookshelves are daxable.,bookshelves have daxes.,p,
cat,cat,cats,a cat,are a type of,cats are daxable.,cats have daxes.,p,
sea animal,sea animal,sea animals,a sea animal,are a type of,sea animals are daxable.,sea animals have daxes.,p,
rearview mirror,rearview mirror,rearview mirrors,a rearview mirror,are a type of,rearview mirrors are daxable.,rearview mirrors have daxes.,p,
pesto,pesto,pestoes,pesto,is a type of,pesto is daxable.,pesto has daxes.,s,
unicycle,unicycle,unicycles,a unicycle,are a type of,unicycles are daxable.,unicycles have daxes.,p,
incubator,incubator,incubators,an incubator,are a type of,incubators are daxable.,incubators have daxes.,p,
bun,bun,buns,a bun,are a type of,buns are daxable.,buns have daxes.,p,
wine,wine,wines,a wine,are a type of,wines are daxable.,wines have daxes.,p,
pug,pug,pugs,a pug,are a type of,pugs are daxable.,pugs have daxes.,p,
women's clothing,women's clothes,women's clothes,women's clothes,are a type of,women's clothes are daxable.,women's clothes have daxes.,p,
locker,locker,lockers,a locker,are a type of,lockers are daxable.,lockers have daxes.,p,
seafood,seafood,seafoods,seafood,is a type of,seafood is daxable.,seafood has daxes.,s,
scalpel,scalpel,scalpels,a scalpel,are a type of,scalpels are daxable.,scalpels have daxes.,p,
screwdriver,screwdriver,screwdrivers,a screwdriver,are a type of,screwdrivers are daxable.,screwdrivers have daxes.,p,
bumper,bumper,bumpers,a bumper,are a type of,bumpers are daxable.,bumpers have daxes.,p,
blowgun,blowgun,blowguns,a blowgun,are a type of,blowguns are daxable.,blowguns have daxes.,p,
sweeper,sweeper,sweepers,a sweeper,are a type of,sweepers are daxable.,sweepers have daxes.,p,
almond,almond,almonds,an almond,are a type of,almonds are daxable.,almonds have daxes.,p,
toy,toy,toys,a toy,are a type of,toys are daxable.,toys have daxes.,p,
muffin,muffin,muffins,a muffin,are a type of,muffins are daxable.,muffins have daxes.,p,
hyena,hyena,hyenas,a hyena,are a type of,hyenas are daxable.,hyenas have daxes.,p,
flan,flan,flans,a flan,is a type of,a flan is daxable.,a flan has daxes.,s,
chaps,chapstick,chapsticks,a chapstick,are a type of,chapsticks are daxable.,chapsticks have daxes.,p,
ham,ham,hams,a ham,are a type of,hams are daxable.,hams have daxes.,p,
condiment,condiment,condiments,a condiment,are a type of,condiments are daxable.,condiments have daxes.,p,
outfit,outfit,outfits,an outfit,are a type of,outfits are daxable.,outfits have daxes.,p,
goose,goose,geese,a goose,are a type of,geese are daxable.,geese have daxes.,p,
pocket watch,pocket watch,pocket watches,a pocket watch,are a type of,pocket watches are daxable.,pocket watches have daxes.,p,
hearing aid,hearing aid,hearing aids,a hearing aid,are a type of,hearing aids are daxable.,hearing aids have daxes.,p,
ottoman,ottoman,ottomans,an ottoman,is a type of,an ottoman is daxable.,an ottoman has daxes.,s,
windshield,windshield,windshields,a windshield,are a type of,windshields are daxable.,windshields have daxes.,p,
chariot,chariot,chariots,a chariot,are a type of,chariots are daxable.,chariots have daxes.,p,
aircraft carrier,aircraft carrier,aircraft carriers,an aircraft carrier,are a type of,aircraft carriers are daxable.,aircraft carriers have daxes.,p,
cufflink,cufflink,cufflinks,a cufflink,are a type of,cufflinks are daxable.,cufflinks have daxes.,p,
petri dish,petri dish,petri dishes,a petri dish,are a type of,petri dishes are daxable.,petri dishes have daxes.,p,
rose,rose,roses,a rose,are a type of,roses are daxable.,roses have daxes.,p,
water bottle,water bottle,water bottles,a water bottle,are a type of,water bottles are daxable.,water bottles have daxes.,p,
beanie,beanie,beanies,a beanie,are a type of,beanies are daxable.,beanies have daxes.,p,
bull,bull,bulls,a bull,are a type of,bulls are daxable.,bulls have daxes.,p,
spareribs,spareribs,spareribs,spareribs,are a type of,spareribs are daxable.,spareribs have daxes.,p,
scoop,scoop,scoops,a scoop,are a type of,scoops are daxable.,scoops have daxes.,p,
vertebrate,vertebrate,vertebrates,a vertebrate,are a type of,vertebrates are daxable.,vertebrates have daxes.,p,
hippopotamus,hippopotamus,hippos,a hippopotamus,are a type of,hippos are daxable.,hippos have daxes.,p,
utilities,utilities,utilities,utilities,are a type of,utilities are daxable.,utilities have daxes.,p,
dynamite,dynamite,dynamites,a dynamite,are a type of,dynamites are daxable.,dynamites have daxes.,p,
folder,folder,folders,a folder,are a type of,folders are daxable.,folders have daxes.,p,
steamroller,steamroller,steamrollers,a steamroller,are a type of,steamrollers are daxable.,steamrollers have daxes.,p,
album,album,albums,an album,are a type of,albums are daxable.,albums have daxes.,p,
margarita,margarita,margaritas,a margarita,are a type of,margaritas are daxable.,margaritas have daxes.,p,
hairbrush,hairbrush,hairbrushes,a hairbrush,is a type of,a hairbrush is daxable.,a hairbrush has daxes.,s,
bean,bean,beans,a bean,are a type of,beans are daxable.,beans have daxes.,p,
computer screen,computer screen,computer screens,a computer screen,are a type of,computer screens are daxable.,computer screens have daxes.,p,
salad,salad,salads,a salad,are a type of,salads are daxable.,salads have daxes.,p,
remote control,remote control,remote controls,a remote control,are a type of,remote controls are daxable.,remote controls have daxes.,p,
funnel,funnel,funnels,a funnel,are a type of,funnels are daxable.,funnels have daxes.,p,
wrench,wrench,wrenches,a wrench,are a type of,wrenches are daxable.,wrenches have daxes.,p,
cornucopia,cornucopia,cornucopias,a cornucopia,are a type of,cornucopias are daxable.,cornucopias have daxes.,p,
pajamas,pajamas,pajamas,a pajamas,are a type of,pajamas are daxable.,pajamas have daxes.,p,
teddy bear,teddy bear,teddy bears,a teddy bear,are a type of,teddy bears are daxable.,teddy bears have daxes.,p,
swimming pool,swimming pool,swimming pools,a swimming pool,are a type of,swimming pools are daxable.,swimming pools have daxes.,p,
grasshopper,grasshopper,grasshoppers,a grasshopper,are a type of,grasshoppers are daxable.,grasshoppers have daxes.,p,
toothbrush,toothbrush,toothbrushes,a toothbrush,are a type of,toothbrushes are daxable.,toothbrushes have daxes.,p,
brussels sprouts,brussels sprouts,brussels sprouts,a brussels sprout,are a type of,brussels sprouts are daxable.,brussels sprouts have daxes.,p,
rack,rack,racks,a rack,are a type of,racks are daxable.,racks have daxes.,p,
tea,tea,teas,tea,is a type of,tea is daxable.,tea has daxes.,s,
school bus,school bus,school buses,a school bus,are a type of,school buses are daxable.,school buses have daxes.,p,
hummus,hummus,hummuses,hummus,is a type of,hummus is daxable.,hummus has daxes.,s,
scrambled egg,scrambled egg,scrambled eggs,a scrambled egg,are a type of,scrambled eggs are daxable.,scrambled eggs have daxes.,p,
candelabra,candelabra,candelabras,a candelabra,are a type of,candelabras are daxable.,candelabras have daxes.,p,
tube top,tube top,tube tops,a tube top,are a type of,tube tops are daxable.,tube tops have daxes.,p,
pecan,pecan,pecans,a pecan,are a type of,pecans are daxable.,pecans have daxes.,p,
match,match,matches,a match,are a type of,matches are daxable.,matches have daxes.,p,
bag,bag,bags,a bag,are a type of,bags are daxable.,bags have daxes.,p,
headlight,headlight,headlights,a headlight,are a type of,headlights are daxable.,headlights have daxes.,p,
shoe,shoe,shoes,a shoe,are a type of,shoes are daxable.,shoes have daxes.,p,
enchilada,enchilada,enchiladas,an enchilada,are a type of,enchiladas are daxable.,enchiladas have daxes.,p,
apple,apple,apples,an apple,are a type of,apples are daxable.,apples have daxes.,p,
ready meal,ready meal,ready meals,a ready meal,are a type of,ready meals are daxable.,ready meals have daxes.,p,
french fries,french fry,french fries,a french fry,are a type of,french fries are daxable.,french fries have daxes.,p,
peanut butter,peanut butter,peanut butter,peanut butter,is a type of,peanut butter is daxable.,peanut butter has daxes.,s,
wig,wig,wigs,a wig,are a type of,wigs are daxable.,wigs have daxes.,p,
weapon,weapon,weapons,a weapon,are a type of,weapons are daxable.,weapons have daxes.,p,
bee,bee,bees,a bee,are a type of,bees are daxable.,bees have daxes.,p,
bolo tie,bolo tie,bolo ties,a bolo tie,are a type of,bolo ties are daxable.,bolo ties have daxes.,p,
syringe,syringe,syringes,a syringe,are a type of,syringes are daxable.,syringes have daxes.,p,
tiara,tiara,tiaras,a tiara,are a type of,tiaras are daxable.,tiaras have daxes.,p,
brace,brace,braces,a brace,are a type of,braces are daxable.,braces have daxes.,p,
ice-cream cone,ice-cream cone,ice-cream cones,an ice-cream cone,are a type of,ice-cream cones are daxable.,ice-cream cones have daxes.,p,
dress,dress,dresses,a dress,are a type of,dresses are daxable.,dresses have daxes.,p,
thumbtack,thumbtack,thumbtacks,a thumbtack,are a type of,thumbtacks are daxable.,thumbtacks have daxes.,p,
hamburger,hamburger,hamburgers,a hamburger,are a type of,hamburgers are daxable.,hamburgers have daxes.,p,
cranberry,cranberry,cranberries,a cranberry,are a type of,cranberries are daxable.,cranberries have daxes.,p,
bazooka,bazooka,bazookas,a bazooka,are a type of,bazookas are daxable.,bazookas have daxes.,p,
taillight,taillight,taillights,a taillight,are a type of,taillights are daxable.,taillights have daxes.,p,
stew,stew,stews,stew,is a type of,stew is daxable.,stew has daxes.,s,
spear,spear,spears,a spear,are a type of,spears are daxable.,spears have daxes.,p,
music box,music box,music boxes,a music box,are a type of,music boxes are daxable.,music boxes have daxes.,p,
pocket,pocket,pockets,a pocket,are a type of,pockets are daxable.,pockets have daxes.,p,
envelope,envelope,envelopes,an envelope,are a type of,envelopes are daxable.,envelopes have daxes.,p,
hash,hash brown,hash browns,a hash brown,are a type of,hash browns are daxable.,hash browns have daxes.,p,
mongoose,mongoose,mongooses,a mongoose,are a type of,mongooses are daxable.,mongooses have daxes.,p,
coffin,coffin,coffins,a coffin,are a type of,coffins are daxable.,coffins have daxes.,p,
dirt bike,dirt bike,dirt bikes,a dirt bike,are a type of,dirt bikes are daxable.,dirt bikes have daxes.,p,
wedding cake,wedding cake,wedding cakes,a wedding cake,are a type of,wedding cakes are daxable.,wedding cakes have daxes.,p,
pogo stick,pogo stick,pogo sticks,a pogo stick,are a type of,pogo sticks are daxable.,pogo sticks have daxes.,p,
coffee bean,coffee bean,coffee beans,a coffee bean,are a type of,coffee beans are daxable.,coffee beans have daxes.,p,
step stool,step stool,step stools,a step stool,are a type of,step stools are daxable.,step stools have daxes.,p,
dip,dip,dips,dip,is a type of,dip is daxable.,dip has daxes.,s,
jacket,jacket,jackets,a jacket,are a type of,jackets are daxable.,jackets have daxes.,p,
lab coat,lab coat,lab coats,a lab coat,are a type of,lab coats are daxable.,lab coats have daxes.,p,
goblet,goblet,goblets,a goblet,are a type of,goblets are daxable.,goblets have daxes.,p,
paintbrush,paintbrush,paintbrushes,a paintbrush,are a type of,paintbrushes are daxable.,paintbrushes have daxes.,p,
soldering iron,soldering iron,soldering irons,a soldering iron,are a type of,soldering irons are daxable.,soldering irons have daxes.,p,
ravioli,ravioli,raviolis,ravioli,is a type of,ravioli is daxable.,ravioli has daxes.,s,
nut,nut,nuts,a nut,are a type of,nuts are daxable.,nuts have daxes.,p,
flamingo,flamingo,flamingoes,a flamingo,are a type of,flamingoes are daxable.,flamingoes have daxes.,p,
briefcase,briefcase,briefcases,a briefcase,are a type of,briefcases are daxable.,briefcases have daxes.,p,
blouse,blouse,blouses,a blouse,are a type of,blouses are daxable.,blouses have daxes.,p,
coaster,coaster,coasters,a coaster,are a type of,coasters are daxable.,coasters have daxes.,p,
walrus,walrus,walruses,a walrus,are a type of,walruses are daxable.,walruses have daxes.,p,
iceskate,iceskate,iceskates,an iceskate,are a type of,iceskates are daxable.,iceskates have daxes.,p,
cotton candy,cotton candy,cotton candies,cotton candy,is a type of,cotton candy is daxable.,cotton candy has daxes.,s,
cape,cape,capes,a cape,are a type of,capes are daxable.,capes have daxes.,p,
brooch,brooch,brooches,a brooch,are a type of,brooches are daxable.,brooches have daxes.,p,
curry,curry,curries,curry,is a type of,curry is daxable.,curry has daxes.,s,
sled,sled,sleds,a sled,are a type of,sleds are daxable.,sleds have daxes.,p,
hatchet,hatchet,hatchets,a hatchet,are a type of,hatchets are daxable.,hatchets have daxes.,p,
ratchet,ratchet,ratchets,a ratchet,are a type of,ratchets are daxable.,ratchets have daxes.,p,
sifter,sifter,sifters,a sifter,are a type of,sifters are daxable.,sifters have daxes.,p,
can opener,can opener,can openers,a can opener,are a type of,can openers are daxable.,can openers have daxes.,p,
breadstick,breadstick,breadsticks,a breadstick,are a type of,breadsticks are daxable.,breadsticks have daxes.,p,
chips,chips,chips,chips,are a type of,chips are daxable.,chips have daxes.,p,
odometer,odometer,odometers,an odometer,are a type of,odometers are daxable.,odometers have daxes.,p,
ant,ant,ants,an ant,are a type of,ants are daxable.,ants have daxes.,p,
donut,donut,donuts,a donut,are a type of,donuts are daxable.,donuts have daxes.,p,
candy bar,candy bar,candy bars,a candy bar,are a type of,candy bars are daxable.,candy bars have daxes.,p,
protective clothing,protective clothing,protective clothings,protective clothing,is a type of,protective clothing is daxable.,protective clothing has daxes.,s,
champagne,champagne,champagnes,champagne,is a type of,champagne is daxable.,champagne has daxes.,s,
patch,patch,patches,a patch,are a type of,patches are daxable.,patches have daxes.,p,
brass knuckles,brass knuckles,brass knuckles,brass knuckles,are a type of,brass knuckles are daxable.,brass knuckles have daxes.,p,
hedgehog,hedgehog,hedgehogs,a hedgehog,are a type of,hedgehogs are daxable.,hedgehogs have daxes.,p,
laptop,laptop,laptops,a laptop,are a type of,laptops are daxable.,laptops have daxes.,p,
glue,glue,glues,glue,is a type of,glue is daxable.,glue has daxes.,s,
arugula,arugula,arugulas,arugula,is a type of,arugula is daxable.,arugula has daxes.,s,
exhaust pipe,exhaust pipe,exhaust pipes,an exhaust pipe,are a type of,exhaust pipes are daxable.,exhaust pipes have daxes.,p,
doorhandle,doorhandle,doorhandles,a doorhandle,are a type of,doorhandles are daxable.,doorhandles have daxes.,p,
amplifier,amplifier,amplifiers,an amplifier,are a type of,amplifiers are daxable.,amplifiers have daxes.,p,
gear,gear,gears,a gear,are a type of,gears are daxable.,gears have daxes.,p,
corkscrew,corkscrew,corkscrews,a corkscrew,are a type of,corkscrews are daxable.,corkscrews have daxes.,p,
carriage,carriage,carriages,a carriage,are a type of,carriages are daxable.,carriages have daxes.,p,
mosquito,mosquito,mosquitoes,a mosquito,are a type of,mosquitoes are daxable.,mosquitoes have daxes.,p,
fig,fig,figs,a fig,are a type of,figs are daxable.,figs have daxes.,p,
beaker,beaker,beakers,a beaker,are a type of,beakers are daxable.,beakers have daxes.,p,
ice pack,ice pack,ice packs,an ice pack,are a type of,ice packs are daxable.,ice packs have daxes.,p,
wasp,wasp,wasps,a wasp,are a type of,wasps are daxable.,wasps have daxes.,p,
suitcase,suitcase,suitcases,a suitcase,are a type of,suitcases are daxable.,suitcases have daxes.,p,
palm tree,palm tree,palm trees,a palm tree,are a type of,palm trees are daxable.,palm trees have daxes.,p,
helicopter,helicopter,helicopters,a helicopter,are a type of,helicopters are daxable.,helicopters have daxes.,p,
kitchen equipment,kitchen equipment,kitchen equipment,kitchen equipment,is a type of,kitchen equipment is daxable.,kitchen equipment has daxes.,s,
triangle,triangle,triangles,a triangle,are a type of,triangles are daxable.,triangles have daxes.,p,
rake,rake,rakes,a rake,are a type of,rakes are daxable.,rakes have daxes.,p,
souffle,souffle,souffles,a souffle,are a type of,souffles are daxable.,souffles have daxes.,p,
pickax,pickax,pickaxes,a pickax,are a type of,pickaxes are daxable.,pickaxes have daxes.,p,
equipment,equipment,equipment,equipment,is a type of,equipment is daxable.,equipment has daxes.,s,
beachball,beachball,beachballs,a beachball,are a type of,beachballs are daxable.,beachballs have daxes.,p,
gazelle,gazelle,gazelles,a gazelle,are a type of,gazelles are daxable.,gazelles have daxes.,p,
leotard,leotard,leotards,a leotard,are a type of,leotards are daxable.,leotards have daxes.,p,
modem,modem,modems,a modem,are a type of,modems are daxable.,modems have daxes.,p,
raincoat,raincoat,raincoats,a raincoat,are a type of,raincoats are daxable.,raincoats have daxes.,p,
scarecrow,scarecrow,scarecrows,a scarecrow,are a type of,scarecrows are daxable.,scarecrows have daxes.,p,
whiteboard,whiteboard,whiteboards,a whiteboard,are a type of,whiteboards are daxable.,whiteboards have daxes.,p,
marker,marker,markers,a marker,are a type of,markers are daxable.,markers have daxes.,p,
patty,patty,patties,a patty,are a type of,patties are daxable.,patties have daxes.,p,
seatbelt,seatbelt,seatbelts,a seatbelt,are a type of,seatbelts are daxable.,seatbelts have daxes.,p,
drink,drink,drinks,a drink,are a type of,drinks are daxable.,drinks have daxes.,p,
flower,flower,flowers,a flower,are a type of,flowers are daxable.,flowers have daxes.,p,
kazoo,kazoo,kazoos,a kazoo,are a type of,kazoos are daxable.,kazoos have daxes.,p,
underwear,underwear,underwears,underwear,is a type of,underwear is daxable.,underwear has daxes.,s,
faucet,faucet,faucets,a faucet,are a type of,faucets are daxable.,faucets have daxes.,p,
