noun,sense,replacement,marked,notes
movie,movie.n.01,,1,
contains,incorporate.v.02,,1,
lab,lab.n.01,,1,
eat,eat.v.01,,1,
mobile,mobile.n.01,,,
processor,processor.n.01,,2,
red,red.n.01,,1,
silk,silk.n.01,,,
note,note.n.01,,1,
feeding,eating.n.01,,1,
play,play.n.01,,1,
fresh,fresh.a.01,,1,
styrofoam,styrofoam.n.01,,,
panel,panel.n.01,,1,
hitting,hit.n.02,,1,
adidas,NF,,1,contextual referent
rest,remainder.n.01,,1,
Mickey,paddy.n.01,,,
shirtless,NF,,1,
deep,deep.n.01,,1,
modern,modern.n.01,,1,
fly,fly.n.01,,1,
catching,catching.n.01,,1,
manhole,manhole.n.01,,,
eats,chow.n.02,,1,
preserver,refinisher.n.01,,1,
bamboo,bamboo.n.01,,,
touching,touch.n.01,,1,
moustache,mustache.n.01,,3,bp
pin,pin.n.01,,,
mixing,mix.n.03,,1,
pointing,indicate.v.02,,1,
brief,brief.n.01,,1,
immature,immature.a.01,,1,
Elmo,NF,,4,toy?
direction,direction.n.01,,1,
opener,opener.n.01,,1,
grazing,graze.n.02,,1,
Did,make.v.01,,1,
float,float.n.01,,1,
raw,raw.n.01,,1,
group,group.n.01,,1,
smoothy,smoothie.n.01,,,
background,background.n.01,,1,
wiis,NF,,,manual
snowboarding,snowboarding.n.01,,1,
elmoes,NF,,4,toy?
waiting,wait.n.02,,1,
point,point.n.01,,1,
touch,touch.n.01,,1,
heavy,heavy.n.01,,1,
oval,ellipse.n.01,,,
open,open.n.01,,1,
wild,wild.n.01,,1,
chasing,chase.v.01,,1,
peel,peel.n.01,,,
foam,foam.n.01,,,
surround,environment.n.02,,1,
mature,mature.v.01,,1,
Lego,lego.n.01,,4,toy
stuck,lodge.v.02,,1,
steering,guidance.n.02,,1,
legoes,NF,lego.n.01,4,toy
cleaner,cleansing_agent.n.01,,1,
ethnicity,ethnicity.n.01,,1,
leaning,leaning.n.01,,1,
fluffy,downy.s.01,,1,
balding,bald.v.01,,1,
gummy,gluey.s.01,,1,
Parmesan,parmesan.n.01,,1,
dull,dull.v.01,,1,
selling,selling.n.01,,1,
fuzzy,fuzzed.s.01,,1,
throwing,throw.v.01,,1,
opening,opening.n.01,,1,
Christmas,christmas.n.01,,1,
underneath,underneath.r.01,,1,
low,low.n.01,,1,
cooked,cook.v.01,,1,
race,race.n.01,,1,
preparing,fix.v.12,,1,
opaque,opaque.a.01,,1,
pull,pull.n.01,,1,
blurry,bleary.s.02,,1,
baking,baking.n.01,,1,
parked,park.v.01,,1,
catch,catch.n.01,,1,
utility,utility.n.01,,1,
facing,facing.n.01,,1,
covering,covering.n.01,,1,too hypernymy already
bent,bent.n.01,,1,
satellite,satellite.n.01,,1,
hoof,hoof.n.01,,,
miniature,miniature.n.01,,1,
coarse,coarse.a.01,,1,
smile,smile.n.01,,1,
octagonal,octangular.a.01,,1,
fake,fake.n.01,,1,
curved,swerve.v.01,,1,
yolk,egg_yolk.n.01,,,
tabby,tabby.n.01,,1,
burnt,burn.v.01,,1,
chewing,chew.n.02,,1,
graz,graz.n.01,,1,
stack,stack.n.01,,,
balance,balance.n.01,,1,Contextual
exit,exit.n.01,,1,Contextual
making,devising.n.01,,1,
homemade,homemade.a.01,,1,
run,run.n.01,,1,
throw,throw.n.01,,1,
puffy,bouffant.s.01,,1,
petting,caressing.n.01,,1,
woven,weave.v.01,,1,
muddy,muddy.v.01,,1,
ornate,flowery.s.02,,1,
wait,delay.n.01,,1,
chase,pursuit.n.01,,1,
texture,texture.n.01,,1,
biting,bite.v.01,,1,
graze,graze.n.01,,1,
down,down.n.01,,1,
grabbing,catch.v.04,,1,
fast,fast.n.01,,1,
observing,detect.v.01,,1,
reach,range.n.02,,1,
chopped,chop.v.01,,1,
grow,turn.v.07,,1,
birthday,birthday.n.01,,1,
carton,carton.n.01,,,
price,monetary_value.n.01,,1,
covered,cover.v.01,,1,
off,murder.v.01,,1,
mashed,squash.v.01,,1,
rippling,ripple.n.01,,1,
try,attempt.n.01,,1,
leading,lead.n.14,,1,
turned-off,NF,,1,
multi,NF,,1,
flying,flight.n.02,,1,
herding,herd.v.01,,1,
wireless,radio.n.01,,1,
sheer,swerve.v.01,,1,
bronwy,NF,,1,
reaching,reach.n.03,,1,
come,semen.n.01,,1,
sleepy,sleepy.s.01,,1,
unhealthy,unhealthy.a.01,,1,
bite,bite.n.01,,1,
licking,defeat.n.01,,1,
worn,wear.v.01,,1,
hard,difficult.a.01,,1,
calico,calico.n.01,,1,
barren,barren.n.01,,1,
plaid,tartan.n.01,,1,
Does,department_of_energy.n.01,,1,???
misty,brumous.s.01,,1,
guide,usher.n.03,,1,
soft,soft.a.01,,1,
long,hanker.v.01,,1,
lead,lead.n.01,,1,
transparent,crystalline.s.03,,1,
turquoise,turquoise.n.01,,1,
high,high.n.01,,1,
guiding,steer.v.01,,1,
wading,wading.n.01,,1,
kneeling,kneel.n.01,,1,
cricket,cricket.n.01,,1,
hairy,hairy.a.01,,1,
boarding,boarding.n.01,,1,
climb,ascent.n.01,,1,
enclosing,enclosure.n.02,,1,
cleaning,cleaning.n.01,,1,
abundant,abundant.a.01,,1,
pet,pet.n.01,,,
basketball,basketball.n.01,,,
storage,storage.n.01,,,
wave,wave.n.01,,,
string,string.n.01,,,
eraser,eraser.n.01,,,
up,up.v.01,,1,
colored,colored_person.n.01,,1,
floating,floating.n.01,,1,
burgundy,bourgogne.n.01,,1,
downwards,down.r.01,,1,
sniffing,sniff.v.01,,1,
pokemons,NF,,4,toy?
approaching,approach.n.05,,1,
comfortable,comfortable.a.01,,1,
tying,tying.n.01,,1,
music,music.n.01,,1,
shadowed,shadow.v.01,,1,
hugging,caressing.n.01,,1,
crooked,crook.v.01,,1,
following,following.n.01,,1,
sleep,sleep.n.01,,1,
curly,curly.a.01,,1,
rusty,rusty.s.01,,1,
pointy,NF,,1,
grouped,group.v.01,,1,
pretty,pretty.s.01,,1,
hung,hang.v.01,,1,
alert,alert.n.01,,1,
working,working.n.01,,1,
glowing,radiance.n.01,,1,
pikachus,NF,,4,toy?
shadow,shadow.n.01,,1,
torn,tear.v.01,,1,
leaving,departure.n.01,,1,
broken,interrupt.v.04,,1,
shaggy,bushy.s.01,,1,
chubby,chubby.s.01,,1,
towards,NF,,1,
diced,cube.v.02,,1,
climbing,climb.n.02,,1,
stacked,stack.v.01,,1,
taller,tall.a.01,,1,
horizontal,horizontal.n.01,,1,
octopodes,NF,octopod.n.01,,
crusty,crusted.s.01,,1,
tossing,flip.v.06,,1,
eaten,eat.v.01,,1,
handmade,handmade.a.01,,1,
onto,NF,,1,
balancing,reconciliation.n.02,,1,
plush,NF,,,manual
read,read.n.01,,1,
rolling,peal.n.01,,1,
growing,growth.n.01,,1,
crispy,crisp.s.02,,1,
fried,fry.v.01,,1,
polar,polar.s.01,,1,
patchy,patchy.s.01,,1,
surrounding,surround.v.01,,1,
Into,NF,,1,
piled,stack.v.02,,1,
checkered,check.v.16,,1,
upwards,up.r.01,,1,
commercial,commercial.n.01,,1,
frying,frying.n.01,,1,
winter,winter.n.01,,1,
outdoor,outdoor.a.01,,1,
spinning,spinning.n.01,,1,
topped,exceed.v.02,,1,
hit,hit.n.01,,1,
batting,batting.n.01,,1,
breaking,breakage.n.03,,1,
half,one-half.n.01,,1,
wash,wash.n.01,,1,
sturdy,hardy.s.01,,1,
blow,blow.n.01,,1,
little,little.n.01,,1,
toss,flip.n.04,,1,
pouring,pour.v.01,,1,
smiling,smile.n.01,,1,
vertical,vertical.n.01,,1,
dried,dry.v.01,,1,
below,below.r.01,,1,
serve,serve.n.01,,1,
analog,analogue.n.01,,1,
barbed,barb.v.01,,1,
waving,wave.n.05,,1,
roman,roman.n.01,,1,
glazed,glaze.v.01,,1,
messy,messy.s.01,,1,
fancy,illusion.n.02,,1,
curvy,curvy.s.01,,1,
wrinkly,wrinkled.a.01,,1,
smelling,smell.n.05,,1,
do,bash.n.02,,1,
kicking,kick.n.06,,1,
