idx,category,hypernym,negative_sample,hypernym_sentence,negative_sentence
4116,limousine,vehicle,bird,limousines are a type of vehicle,limousines are a type of bird
4117,sorbet,food,outerwear,sorbets are a type of food,sorbets are a type of outerwear
4118,sorbet,food,protective clothing,sorbets are a type of food,sorbets are a type of protective clothing
4119,sorbet,food,musical instrument,sorbets are a type of food,sorbets are a type of musical instrument
4120,sorbet,food,school supply,sorbets are a type of food,sorbets are a type of school supply
4121,sorbet,dessert,insect,sorbets are a type of dessert,sorbets are a type of insect
4122,sorbet,dessert,weapon,sorbets are a type of dessert,sorbets are a type of weapon
4123,sorbet,dessert,women's clothing,sorbets are a type of dessert,sorbets are a type of women's clothes
4124,sorbet,dessert,livestock,sorbets are a type of dessert,sorbets are a type of livestock
4125,muffin,dessert,candy,muffins are a type of dessert,muffins are a type of candy
4126,muffin,dessert,insect,muffins are a type of dessert,muffins are a type of insect
4127,muffin,dessert,vehicle,muffins are a type of dessert,muffins are a type of vehicle
4128,muffin,dessert,drink,muffins are a type of dessert,muffins are a type of drink
4129,muffin,food,insect,muffins are a type of food,muffins are a type of insect
4130,muffin,food,mammal,muffins are a type of food,muffins are a type of mammal
4131,muffin,food,outerwear,muffins are a type of food,muffins are a type of outerwear
4132,muffin,food,auto part,muffins are a type of food,muffins are a type of auto part
4133,tiara,jewelry,footwear,tiaras are a type of jewelry,tiaras are a type of footwear
4134,tiara,jewelry,toy,tiaras are a type of jewelry,tiaras are a type of toy
4135,tiara,jewelry,furniture,tiaras are a type of jewelry,tiaras are a type of furniture
4136,tiara,jewelry,kitchen equipment,tiaras are a type of jewelry,tiaras are a type of kitchen equipment
4137,tiara,headwear,footwear,tiaras are a type of headwear,tiaras are a type of footwear
4138,tiara,headwear,sea animal,tiaras are a type of headwear,tiaras are a type of sea animal
4139,tiara,headwear,toy,tiaras are a type of headwear,tiaras are a type of toy
4140,tiara,headwear,dessert,tiaras are a type of headwear,tiaras are a type of dessert
4141,tiara,clothing,toy,tiaras are a type of clothing,tiaras are a type of toy
4142,tiara,clothing,protective clothing,tiaras are a type of clothing,tiaras are a type of protective clothing
4143,tiara,clothing,accessory,tiaras are a type of clothing,tiaras are a type of accessory
4144,tiara,clothing,electronic device,tiaras are a type of clothing,tiaras are a type of electronic device
4145,tiara,women's clothing,outerwear,tiaras are a type of women's clothes,tiaras are a type of outerwear
4146,tiara,women's clothing,kitchen equipment,tiaras are a type of women's clothes,tiaras are a type of kitchen equipment
4147,tiara,women's clothing,seafood,tiaras are a type of women's clothes,tiaras are a type of seafood
4148,tiara,women's clothing,dessert,tiaras are a type of women's clothes,tiaras are a type of dessert
4149,birdcage,home decor,school supply,birdcages are a type of home decor,birdcages are a type of school supply
4150,birdcage,home decor,game,birdcages are a type of home decor,birdcages are a type of game
4151,birdcage,home decor,livestock,birdcages are a type of home decor,birdcages are a type of livestock
4152,birdcage,home decor,protective clothing,birdcages are a type of home decor,birdcages are a type of protective clothing
4153,birdcage,container,animal,birdcages are a type of container,birdcages are a type of animal
4154,birdcage,container,dessert,birdcages are a type of container,birdcages are a type of dessert
4155,birdcage,container,furniture,birdcages are a type of container,birdcages are a type of furniture
4156,birdcage,container,food,birdcages are a type of container,birdcages are a type of food
4157,latte,drink,women's clothing,lattes are a type of drink,lattes are a type of women's clothes
4158,latte,drink,auto part,lattes are a type of drink,lattes are a type of auto part
4159,latte,drink,dessert,lattes are a type of drink,lattes are a type of dessert
4160,latte,drink,sea animal,lattes are a type of drink,lattes are a type of sea animal
4161,warthog,mammal,footwear,warthogs are a type of mammal,warthogs are a type of footwear
4162,warthog,mammal,livestock,warthogs are a type of mammal,warthogs are a type of livestock
4163,warthog,mammal,fastener,warthogs are a type of mammal,warthogs are a type of fastener
4164,warthog,mammal,container,warthogs are a type of mammal,warthogs are a type of container
4165,warthog,animal,dessert,warthogs are a type of animal,warthogs are a type of dessert
4166,warthog,animal,school supply,warthogs are a type of animal,warthogs are a type of school supply
4167,warthog,animal,accessory,warthogs are a type of animal,warthogs are a type of accessory
4168,warthog,animal,insect,warthogs are a type of animal,warthogs are a type of insect
4169,grinder,tool,jewelry,grinders are a type of tool,grinders are a type of jewelry
4170,grinder,tool,fruit,grinders are a type of tool,grinders are a type of fruit
4171,grinder,tool,water vehicle,grinders are a type of tool,grinders are a type of water vehicle
4172,grinder,tool,auto part,grinders are a type of tool,grinders are a type of auto part
4173,grinder,kitchen tool,container,grinders are a type of kitchen tool,grinders are a type of container
4174,grinder,kitchen tool,sea animal,grinders are a type of kitchen tool,grinders are a type of sea animal
4175,grinder,kitchen tool,food,grinders are a type of kitchen tool,grinders are a type of food
4176,grinder,kitchen tool,livestock,grinders are a type of kitchen tool,grinders are a type of livestock
4177,vest,clothing,furniture,vests are a type of clothing,vests are a type of furniture
4178,vest,clothing,kitchen tool,vests are a type of clothing,vests are a type of kitchen tool
4179,vest,clothing,auto part,vests are a type of clothing,vests are a type of auto part
4180,vest,clothing,weapon,vests are a type of clothing,vests are a type of weapon
4181,paintbrush,tool,fruit,paintbrushes are a type of tool,paintbrushes are a type of fruit
4182,paintbrush,tool,water vehicle,paintbrushes are a type of tool,paintbrushes are a type of water vehicle
4183,paintbrush,tool,outerwear,paintbrushes are a type of tool,paintbrushes are a type of outerwear
4184,paintbrush,tool,footwear,paintbrushes are a type of tool,paintbrushes are a type of footwear
4185,revolver,weapon,electronic device,revolvers are a type of weapon,revolvers are a type of electronic device
4186,revolver,weapon,jewelry,revolvers are a type of weapon,revolvers are a type of jewelry
4187,revolver,weapon,furniture,revolvers are a type of weapon,revolvers are a type of furniture
4188,revolver,weapon,musical instrument,revolvers are a type of weapon,revolvers are a type of musical instrument
4189,potpourri,home decor,garden tool,potpourris are a type of home decor,potpourris are a type of garden tool
4190,potpourri,home decor,food,potpourris are a type of home decor,potpourris are a type of food
4191,potpourri,home decor,vehicle,potpourris are a type of home decor,potpourris are a type of vehicle
4192,potpourri,home decor,jewelry,potpourris are a type of home decor,potpourris are a type of jewelry
4193,checkers,game,toy,checkers are a type of game,checkers are a type of toy
4194,checkers,game,drink,checkers are a type of game,checkers are a type of drink
4195,checkers,game,container,checkers are a type of game,checkers are a type of container
4196,checkers,game,kitchen equipment,checkers are a type of game,checkers are a type of kitchen equipment
4197,cookie,dessert,container,cookies are a type of dessert,cookies are a type of container
4198,cookie,dessert,fastener,cookies are a type of dessert,cookies are a type of fastener
4199,cookie,dessert,water vehicle,cookies are a type of dessert,cookies are a type of water vehicle
4200,cookie,dessert,livestock,cookies are a type of dessert,cookies are a type of livestock
4201,cookie,food,auto part,cookies are a type of food,cookies are a type of auto part
4202,cookie,food,office supply,cookies are a type of food,cookies are a type of office supply
4203,cookie,food,vehicle,cookies are a type of food,cookies are a type of vehicle
4204,cookie,food,clothing,cookies are a type of food,cookies are a type of clothing
4205,padlock,tool,toiletry,padlocks are a type of tool,padlocks are a type of toiletry
4206,padlock,tool,animal,padlocks are a type of tool,padlocks are a type of animal
4207,padlock,tool,livestock,padlocks are a type of tool,padlocks are a type of livestock
4208,padlock,tool,auto part,padlocks are a type of tool,padlocks are a type of auto part
4209,padlock,fastener,container,padlocks are a type of fastener,padlocks are a type of container
4210,padlock,fastener,garden tool,padlocks are a type of fastener,padlocks are a type of garden tool
4211,padlock,fastener,kitchen tool,padlocks are a type of fastener,padlocks are a type of kitchen tool
4212,padlock,fastener,water vehicle,padlocks are a type of fastener,padlocks are a type of water vehicle
4213,donut,food,office supply,donuts are a type of food,donuts are a type of office supply
4214,donut,food,bird,donuts are a type of food,donuts are a type of bird
4215,donut,food,home decor,donuts are a type of food,donuts are a type of home decor
4216,donut,food,fastener,donuts are a type of food,donuts are a type of fastener
4217,donut,dessert,electronic device,donuts are a type of dessert,donuts are a type of electronic device
4218,donut,dessert,furniture,donuts are a type of dessert,donuts are a type of furniture
4219,donut,dessert,fastener,donuts are a type of dessert,donuts are a type of fastener
4220,donut,dessert,kitchen tool,donuts are a type of dessert,donuts are a type of kitchen tool
4221,hairdryer,toiletry,fastener,hairdryers are a type of toiletry,hairdryers are a type of fastener
4222,hairdryer,toiletry,container,hairdryers are a type of toiletry,hairdryers are a type of container
4223,hairdryer,toiletry,dessert,hairdryers are a type of toiletry,hairdryers are a type of dessert
4224,hairdryer,toiletry,food,hairdryers are a type of toiletry,hairdryers are a type of food
4225,hairdryer,electronic device,accessory,hairdryers are a type of electronic device,hairdryers are a type of accessory
4226,hairdryer,electronic device,animal,hairdryers are a type of electronic device,hairdryers are a type of animal
4227,hairdryer,electronic device,kitchen tool,hairdryers are a type of electronic device,hairdryers are a type of kitchen tool
4228,hairdryer,electronic device,outerwear,hairdryers are a type of electronic device,hairdryers are a type of outerwear
4229,dip,food,weapon,dip is a type of food,dip is a type of weapon
4230,dip,food,vegetable,dip is a type of food,dip is a type of vegetable
4231,dip,food,plant,dip is a type of food,dip is a type of plant
4232,dip,food,animal,dip is a type of food,dip is a type of animal
4233,moose,animal,accessory,moose are a type of animal,moose are a type of accessory
4234,moose,animal,dessert,moose are a type of animal,moose are a type of dessert
4235,moose,animal,garden tool,moose are a type of animal,moose are a type of garden tool
4236,moose,animal,weapon,moose are a type of animal,moose are a type of weapon
4237,moose,mammal,drink,moose are a type of mammal,moose are a type of drink
4238,moose,mammal,jewelry,moose are a type of mammal,moose are a type of jewelry
4239,moose,mammal,insect,moose are a type of mammal,moose are a type of insect
4240,moose,mammal,weapon,moose are a type of mammal,moose are a type of weapon
4241,nail polish,toiletry,tool,nail polish is a type of toiletry,nail polish is a type of tool
4242,nail polish,toiletry,medical equipment,nail polish is a type of toiletry,nail polish is a type of medical equipment
4243,nail polish,toiletry,container,nail polish is a type of toiletry,nail polish is a type of container
4244,nail polish,toiletry,bird,nail polish is a type of toiletry,nail polish is a type of bird
4245,anvil,tool,insect,anvils are a type of tool,anvils are a type of insect
4246,anvil,tool,electronic device,anvils are a type of tool,anvils are a type of electronic device
4247,anvil,tool,fruit,anvils are a type of tool,anvils are a type of fruit
4248,anvil,tool,vegetable,anvils are a type of tool,anvils are a type of vegetable
4249,bed,furniture,game,beds are a type of furniture,beds are a type of game
4250,bed,furniture,candy,beds are a type of furniture,beds are a type of candy
4251,bed,furniture,drink,beds are a type of furniture,beds are a type of drink
4252,bed,furniture,tool,beds are a type of furniture,beds are a type of tool
4253,chisel,tool,electronic device,chisels are a type of tool,chisels are a type of electronic device
4254,chisel,tool,drink,chisels are a type of tool,chisels are a type of drink
4255,chisel,tool,auto part,chisels are a type of tool,chisels are a type of auto part
4256,chisel,tool,school supply,chisels are a type of tool,chisels are a type of school supply
4257,aardvark,mammal,vegetable,aardvarks are a type of mammal,aardvarks are a type of vegetable
4258,aardvark,mammal,outerwear,aardvarks are a type of mammal,aardvarks are a type of outerwear
4259,aardvark,mammal,plant,aardvarks are a type of mammal,aardvarks are a type of plant
4260,aardvark,mammal,clothing,aardvarks are a type of mammal,aardvarks are a type of clothing
4261,aardvark,animal,school supply,aardvarks are a type of animal,aardvarks are a type of school supply
4262,aardvark,animal,furniture,aardvarks are a type of animal,aardvarks are a type of furniture
4263,aardvark,animal,tool,aardvarks are a type of animal,aardvarks are a type of tool
4264,aardvark,animal,clothing,aardvarks are a type of animal,aardvarks are a type of clothing
4265,joystick,electronic device,water vehicle,joysticks are a type of electronic device,joysticks are a type of water vehicle
4266,joystick,electronic device,candy,joysticks are a type of electronic device,joysticks are a type of candy
4267,joystick,electronic device,office supply,joysticks are a type of electronic device,joysticks are a type of office supply
4268,joystick,electronic device,animal,joysticks are a type of electronic device,joysticks are a type of animal
4269,backpack,school supply,musical instrument,backpacks are a type of school supply,backpacks are a type of musical instrument
4270,backpack,school supply,game,backpacks are a type of school supply,backpacks are a type of game
4271,backpack,school supply,animal,backpacks are a type of school supply,backpacks are a type of animal
4272,backpack,school supply,women's clothing,backpacks are a type of school supply,backpacks are a type of women's clothes
4273,backpack,container,outerwear,backpacks are a type of container,backpacks are a type of outerwear
4274,backpack,container,women's clothing,backpacks are a type of container,backpacks are a type of women's clothes
4275,backpack,container,accessory,backpacks are a type of container,backpacks are a type of accessory
4276,backpack,container,seafood,backpacks are a type of container,backpacks are a type of seafood
4277,goldfish,animal,accessory,goldfish are a type of animal,goldfish are a type of accessory
4278,goldfish,animal,protective clothing,goldfish are a type of animal,goldfish are a type of protective clothing
4279,goldfish,animal,jewelry,goldfish are a type of animal,goldfish are a type of jewelry
4280,goldfish,animal,fruit,goldfish are a type of animal,goldfish are a type of fruit
4281,sea urchin,animal,protective clothing,sea urchins are a type of animal,sea urchins are a type of protective clothing
4282,sea urchin,animal,game,sea urchins are a type of animal,sea urchins are a type of game
4283,sea urchin,animal,water vehicle,sea urchins are a type of animal,sea urchins are a type of water vehicle
4284,sea urchin,animal,school supply,sea urchins are a type of animal,sea urchins are a type of school supply
4285,sea urchin,seafood,protective clothing,sea urchins are a type of seafood,sea urchins are a type of protective clothing
4286,sea urchin,seafood,medical equipment,sea urchins are a type of seafood,sea urchins are a type of medical equipment
4287,sea urchin,seafood,garden tool,sea urchins are a type of seafood,sea urchins are a type of garden tool
4288,sea urchin,seafood,furniture,sea urchins are a type of seafood,sea urchins are a type of furniture
4289,sea urchin,sea animal,garden tool,sea urchins are a type of sea animal,sea urchins are a type of garden tool
4290,sea urchin,sea animal,furniture,sea urchins are a type of sea animal,sea urchins are a type of furniture
4291,sea urchin,sea animal,dessert,sea urchins are a type of sea animal,sea urchins are a type of dessert
4292,sea urchin,sea animal,footwear,sea urchins are a type of sea animal,sea urchins are a type of footwear
4293,beetle,animal,condiment,beetles are a type of animal,beetles are a type of condiment
4294,beetle,animal,outerwear,beetles are a type of animal,beetles are a type of outerwear
4295,beetle,animal,furniture,beetles are a type of animal,beetles are a type of furniture
4296,beetle,animal,auto part,beetles are a type of animal,beetles are a type of auto part
4297,beetle,insect,accessory,beetles are a type of insect,beetles are a type of accessory
4298,beetle,insect,clothing,beetles are a type of insect,beetles are a type of clothing
4299,beetle,insect,livestock,beetles are a type of insect,beetles are a type of livestock
4300,beetle,insect,dessert,beetles are a type of insect,beetles are a type of dessert
4301,pen,office supply,insect,pens are a type of office supply,pens are a type of insect
4302,pen,office supply,jewelry,pens are a type of office supply,pens are a type of jewelry
4303,pen,office supply,clothing,pens are a type of office supply,pens are a type of clothing
4304,pen,office supply,seafood,pens are a type of office supply,pens are a type of seafood
4305,pen,school supply,candy,pens are a type of school supply,pens are a type of candy
4306,pen,school supply,condiment,pens are a type of school supply,pens are a type of condiment
4307,pen,school supply,musical instrument,pens are a type of school supply,pens are a type of musical instrument
4308,pen,school supply,container,pens are a type of school supply,pens are a type of container
4309,pen,tool,auto part,pens are a type of tool,pens are a type of auto part
4310,pen,tool,toiletry,pens are a type of tool,pens are a type of toiletry
4311,pen,tool,container,pens are a type of tool,pens are a type of container
4312,pen,tool,animal,pens are a type of tool,pens are a type of animal
4313,suitcase,container,furniture,suitcases are a type of container,suitcases are a type of furniture
4314,suitcase,container,garden tool,suitcases are a type of container,suitcases are a type of garden tool
4315,suitcase,container,auto part,suitcases are a type of container,suitcases are a type of auto part
4316,suitcase,container,women's clothing,suitcases are a type of container,suitcases are a type of women's clothes
4317,inkwell,container,animal,inkwells are a type of container,inkwells are a type of animal
4318,inkwell,container,vehicle,inkwells are a type of container,inkwells are a type of vehicle
4319,inkwell,container,footwear,inkwells are a type of container,inkwells are a type of footwear
4320,inkwell,container,dessert,inkwells are a type of container,inkwells are a type of dessert
4321,inkwell,school supply,garden tool,inkwells are a type of school supply,inkwells are a type of garden tool
4322,inkwell,school supply,insect,inkwells are a type of school supply,inkwells are a type of insect
4323,inkwell,school supply,toiletry,inkwells are a type of school supply,inkwells are a type of toiletry
4324,inkwell,school supply,toy,inkwells are a type of school supply,inkwells are a type of toy
4325,shaving cream,toiletry,toy,shaving cream is a type of toiletry,shaving cream is a type of toy
4326,shaving cream,toiletry,jewelry,shaving cream is a type of toiletry,shaving cream is a type of jewelry
4327,shaving cream,toiletry,food,shaving cream is a type of toiletry,shaving cream is a type of food
4328,shaving cream,toiletry,protective clothing,shaving cream is a type of toiletry,shaving cream is a type of protective clothing
4329,alpaca,animal,insect,alpacas are a type of animal,alpacas are a type of insect
4330,alpaca,animal,accessory,alpacas are a type of animal,alpacas are a type of accessory
4331,alpaca,animal,musical instrument,alpacas are a type of animal,alpacas are a type of musical instrument
4332,alpaca,animal,toy,alpacas are a type of animal,alpacas are a type of toy
4333,alpaca,mammal,footwear,alpacas are a type of mammal,alpacas are a type of footwear
4334,alpaca,mammal,accessory,alpacas are a type of mammal,alpacas are a type of accessory
4335,alpaca,mammal,kitchen equipment,alpacas are a type of mammal,alpacas are a type of kitchen equipment
4336,alpaca,mammal,auto part,alpacas are a type of mammal,alpacas are a type of auto part
4337,blender,kitchen equipment,mammal,blenders are a type of kitchen equipment,blenders are a type of mammal
4338,blender,kitchen equipment,protective clothing,blenders are a type of kitchen equipment,blenders are a type of protective clothing
4339,blender,kitchen equipment,seafood,blenders are a type of kitchen equipment,blenders are a type of seafood
4340,blender,kitchen equipment,drink,blenders are a type of kitchen equipment,blenders are a type of drink
4341,blender,electronic device,fastener,blenders are a type of electronic device,blenders are a type of fastener
4342,blender,electronic device,vehicle,blenders are a type of electronic device,blenders are a type of vehicle
4343,blender,electronic device,game,blenders are a type of electronic device,blenders are a type of game
4344,blender,electronic device,insect,blenders are a type of electronic device,blenders are a type of insect
4345,bulldozer,vehicle,kitchen tool,bulldozers are a type of vehicle,bulldozers are a type of kitchen tool
4346,bulldozer,vehicle,musical instrument,bulldozers are a type of vehicle,bulldozers are a type of musical instrument
4347,bulldozer,vehicle,condiment,bulldozers are a type of vehicle,bulldozers are a type of condiment
4348,bulldozer,vehicle,insect,bulldozers are a type of vehicle,bulldozers are a type of insect
4349,eyeliner,toiletry,mammal,eyeliners are a type of toiletry,eyeliners are a type of mammal
4350,eyeliner,toiletry,jewelry,eyeliners are a type of toiletry,eyeliners are a type of jewelry
4351,eyeliner,toiletry,furniture,eyeliners are a type of toiletry,eyeliners are a type of furniture
4352,eyeliner,toiletry,clothing,eyeliners are a type of toiletry,eyeliners are a type of clothing
4353,wasp,animal,food,wasps are a type of animal,wasps are a type of food
4354,wasp,animal,plant,wasps are a type of animal,wasps are a type of plant
4355,wasp,animal,game,wasps are a type of animal,wasps are a type of game
4356,wasp,animal,fastener,wasps are a type of animal,wasps are a type of fastener
4357,wasp,insect,tool,wasps are a type of insect,wasps are a type of tool
4358,wasp,insect,women's clothing,wasps are a type of insect,wasps are a type of women's clothes
4359,wasp,insect,weapon,wasps are a type of insect,wasps are a type of weapon
4360,wasp,insect,kitchen equipment,wasps are a type of insect,wasps are a type of kitchen equipment
4361,doghouse,container,water vehicle,doghouses are a type of container,doghouses are a type of water vehicle
4362,doghouse,container,seafood,doghouses are a type of container,doghouses are a type of seafood
4363,doghouse,container,insect,doghouses are a type of container,doghouses are a type of insect
4364,doghouse,container,outerwear,doghouses are a type of container,doghouses are a type of outerwear
4365,rim,auto part,mammal,rims are a type of auto part,rims are a type of mammal
4366,rim,auto part,toiletry,rims are a type of auto part,rims are a type of toiletry
4367,rim,auto part,dessert,rims are a type of auto part,rims are a type of dessert
4368,rim,auto part,toy,rims are a type of auto part,rims are a type of toy
4369,strap,fastener,mammal,straps are a type of fastener,straps are a type of mammal
4370,strap,fastener,school supply,straps are a type of fastener,straps are a type of school supply
4371,strap,fastener,vehicle,straps are a type of fastener,straps are a type of vehicle
4372,strap,fastener,musical instrument,straps are a type of fastener,straps are a type of musical instrument
4373,candelabra,home decor,tool,candelabras are a type of home decor,candelabras are a type of tool
4374,candelabra,home decor,dessert,candelabras are a type of home decor,candelabras are a type of dessert
4375,candelabra,home decor,musical instrument,candelabras are a type of home decor,candelabras are a type of musical instrument
4376,candelabra,home decor,furniture,candelabras are a type of home decor,candelabras are a type of furniture
4377,skewer,kitchen tool,garden tool,skewers are a type of kitchen tool,skewers are a type of garden tool
4378,skewer,kitchen tool,home decor,skewers are a type of kitchen tool,skewers are a type of home decor
4379,skewer,kitchen tool,electronic device,skewers are a type of kitchen tool,skewers are a type of electronic device
4380,skewer,kitchen tool,headwear,skewers are a type of kitchen tool,skewers are a type of headwear
4381,football helmet,protective clothing,drink,football helmets are a type of protective clothing,football helmets are a type of drink
4382,football helmet,protective clothing,fastener,football helmets are a type of protective clothing,football helmets are a type of fastener
4383,football helmet,protective clothing,kitchen equipment,football helmets are a type of protective clothing,football helmets are a type of kitchen equipment
4384,football helmet,protective clothing,condiment,football helmets are a type of protective clothing,football helmets are a type of condiment
4385,football helmet,headwear,office supply,football helmets are a type of headwear,football helmets are a type of office supply
4386,football helmet,headwear,livestock,football helmets are a type of headwear,football helmets are a type of livestock
4387,football helmet,headwear,fastener,football helmets are a type of headwear,football helmets are a type of fastener
4388,football helmet,headwear,auto part,football helmets are a type of headwear,football helmets are a type of auto part
4389,taffy,food,footwear,taffy is a type of food,taffy is a type of footwear
4390,taffy,food,medical equipment,taffy is a type of food,taffy is a type of medical equipment
4391,taffy,food,headwear,taffy is a type of food,taffy is a type of headwear
4392,taffy,food,condiment,taffy is a type of food,taffy is a type of condiment
4393,taffy,candy,tool,taffy is a type of candy,taffy is a type of tool
4394,taffy,candy,musical instrument,taffy is a type of candy,taffy is a type of musical instrument
4395,taffy,candy,mammal,taffy is a type of candy,taffy is a type of mammal
4396,taffy,candy,dessert,taffy is a type of candy,taffy is a type of dessert
4397,pliers,tool,accessory,pliers are a type of tool,pliers are a type of accessory
4398,pliers,tool,drink,pliers are a type of tool,pliers are a type of drink
4399,pliers,tool,fastener,pliers are a type of tool,pliers are a type of fastener
4400,pliers,tool,weapon,pliers are a type of tool,pliers are a type of weapon
4401,aloe,plant,office supply,aloe is a type of plant,aloe is a type of office supply
4402,aloe,plant,weapon,aloe is a type of plant,aloe is a type of weapon
4403,aloe,plant,candy,aloe is a type of plant,aloe is a type of candy
4404,aloe,plant,animal,aloe is a type of plant,aloe is a type of animal
4405,shoe,footwear,drink,shoes are a type of footwear,shoes are a type of drink
4406,shoe,footwear,garden tool,shoes are a type of footwear,shoes are a type of garden tool
4407,shoe,footwear,fruit,shoes are a type of footwear,shoes are a type of fruit
4408,shoe,footwear,weapon,shoes are a type of footwear,shoes are a type of weapon
4409,shoe,clothing,outerwear,shoes are a type of clothing,shoes are a type of outerwear
4410,shoe,clothing,kitchen tool,shoes are a type of clothing,shoes are a type of kitchen tool
4411,shoe,clothing,fruit,shoes are a type of clothing,shoes are a type of fruit
4412,shoe,clothing,container,shoes are a type of clothing,shoes are a type of container
4413,cockatoo,bird,weapon,cockatoos are a type of bird,cockatoos are a type of weapon
4414,cockatoo,bird,garden tool,cockatoos are a type of bird,cockatoos are a type of garden tool
4415,cockatoo,bird,musical instrument,cockatoos are a type of bird,cockatoos are a type of musical instrument
4416,cockatoo,bird,outerwear,cockatoos are a type of bird,cockatoos are a type of outerwear
4417,cockatoo,animal,water vehicle,cockatoos are a type of animal,cockatoos are a type of water vehicle
4418,cockatoo,animal,tool,cockatoos are a type of animal,cockatoos are a type of tool
4419,cockatoo,animal,food,cockatoos are a type of animal,cockatoos are a type of food
4420,cockatoo,animal,outerwear,cockatoos are a type of animal,cockatoos are a type of outerwear
4421,wrench,tool,condiment,wrenches are a type of tool,wrenches are a type of condiment
4422,wrench,tool,clothing,wrenches are a type of tool,wrenches are a type of clothing
4423,wrench,tool,weapon,wrenches are a type of tool,wrenches are a type of weapon
4424,wrench,tool,dessert,wrenches are a type of tool,wrenches are a type of dessert
4425,bee,insect,food,bees are a type of insect,bees are a type of food
4426,bee,insect,garden tool,bees are a type of insect,bees are a type of garden tool
4427,bee,insect,sea animal,bees are a type of insect,bees are a type of sea animal
4428,bee,insect,protective clothing,bees are a type of insect,bees are a type of protective clothing
4429,bee,animal,livestock,bees are a type of animal,bees are a type of livestock
4430,bee,animal,musical instrument,bees are a type of animal,bees are a type of musical instrument
4431,bee,animal,kitchen equipment,bees are a type of animal,bees are a type of kitchen equipment
4432,bee,animal,water vehicle,bees are a type of animal,bees are a type of water vehicle
4433,tortilla,food,mammal,tortillas are a type of food,tortillas are a type of mammal
4434,tortilla,food,animal,tortillas are a type of food,tortillas are a type of animal
4435,tortilla,food,fastener,tortillas are a type of food,tortillas are a type of fastener
4436,tortilla,food,footwear,tortillas are a type of food,tortillas are a type of footwear
4437,wolf,mammal,musical instrument,wolves are a type of mammal,wolves are a type of musical instrument
4438,wolf,mammal,insect,wolves are a type of mammal,wolves are a type of insect
4439,wolf,mammal,auto part,wolves are a type of mammal,wolves are a type of auto part
4440,wolf,mammal,container,wolves are a type of mammal,wolves are a type of container
4441,wolf,animal,clothing,wolves are a type of animal,wolves are a type of clothing
4442,wolf,animal,insect,wolves are a type of animal,wolves are a type of insect
4443,wolf,animal,kitchen equipment,wolves are a type of animal,wolves are a type of kitchen equipment
4444,wolf,animal,women's clothing,wolves are a type of animal,wolves are a type of women's clothes
4445,whisk,kitchen tool,food,whisks are a type of kitchen tool,whisks are a type of food
4446,whisk,kitchen tool,vehicle,whisks are a type of kitchen tool,whisks are a type of vehicle
4447,whisk,kitchen tool,jewelry,whisks are a type of kitchen tool,whisks are a type of jewelry
4448,whisk,kitchen tool,electronic device,whisks are a type of kitchen tool,whisks are a type of electronic device
4449,pencil,school supply,outerwear,pencils are a type of school supply,pencils are a type of outerwear
4450,pencil,school supply,mammal,pencils are a type of school supply,pencils are a type of mammal
4451,pencil,school supply,condiment,pencils are a type of school supply,pencils are a type of condiment
4452,pencil,school supply,clothing,pencils are a type of school supply,pencils are a type of clothing
4453,pencil,tool,protective clothing,pencils are a type of tool,pencils are a type of protective clothing
4454,pencil,tool,weapon,pencils are a type of tool,pencils are a type of weapon
4455,pencil,tool,musical instrument,pencils are a type of tool,pencils are a type of musical instrument
4456,pencil,tool,home decor,pencils are a type of tool,pencils are a type of home decor
4457,pencil,office supply,electronic device,pencils are a type of office supply,pencils are a type of electronic device
4458,pencil,office supply,toiletry,pencils are a type of office supply,pencils are a type of toiletry
4459,pencil,office supply,insect,pencils are a type of office supply,pencils are a type of insect
4460,pencil,office supply,candy,pencils are a type of office supply,pencils are a type of candy
4461,corset,clothing,jewelry,corsets are a type of clothing,corsets are a type of jewelry
4462,corset,clothing,electronic device,corsets are a type of clothing,corsets are a type of electronic device
4463,corset,clothing,furniture,corsets are a type of clothing,corsets are a type of furniture
4464,corset,clothing,footwear,corsets are a type of clothing,corsets are a type of footwear
4465,corset,women's clothing,fruit,corsets are a type of women's clothes,corsets are a type of fruit
4466,corset,women's clothing,fastener,corsets are a type of women's clothes,corsets are a type of fastener
4467,corset,women's clothing,mammal,corsets are a type of women's clothes,corsets are a type of mammal
4468,corset,women's clothing,container,corsets are a type of women's clothes,corsets are a type of container
4469,plant,plant,headwear,plants are a type of plant,plants are a type of headwear
4470,plant,plant,toiletry,plants are a type of plant,plants are a type of toiletry
4471,plant,plant,kitchen equipment,plants are a type of plant,plants are a type of kitchen equipment
4472,plant,plant,weapon,plants are a type of plant,plants are a type of weapon
4473,icemaker,kitchen equipment,auto part,icemakers are a type of kitchen equipment,icemakers are a type of auto part
4474,icemaker,kitchen equipment,fruit,icemakers are a type of kitchen equipment,icemakers are a type of fruit
4475,icemaker,kitchen equipment,animal,icemakers are a type of kitchen equipment,icemakers are a type of animal
4476,icemaker,kitchen equipment,food,icemakers are a type of kitchen equipment,icemakers are a type of food
4477,icemaker,electronic device,headwear,icemakers are a type of electronic device,icemakers are a type of headwear
4478,icemaker,electronic device,plant,icemakers are a type of electronic device,icemakers are a type of plant
4479,icemaker,electronic device,medical equipment,icemakers are a type of electronic device,icemakers are a type of medical equipment
